"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",3237.85777385159,56979.5770759717,194060.312058304,636593.509717315
"MILLER",5238.39811354334,67773.5842676633,224826.800854245,727567.537640149
"CASULA",1838.14883838066,55952.2206761947,186045.528678461,664462.627085563
"CARTWRIGHT",12172.9269642198,91867.6307635559,297506.177794172,1384304.7281446
"HECKENBERG",2297.9619047619,55867.8428571429,144767.817777778,467565.032063492
"SADLEIR",2968.83953630262,60581.7300183038,157841.4609518,521680.757169006
"LURNEA",7315.63469969312,73726.4681060938,214209.602257782,763112.955501973
"ASHCROFT",2118.24027889515,56979.493429874,135368.864843121,446493.779833736
"LIVERPOOL",18812.0071356917,88834.1472943047,327333.418507372,1397092.67338595
"MOOREBANK",2427.47106524143,43797.1965024368,204535.939796044,1242282.51709874
"WARWICK FARM",11942.6734693878,74095.1203355129,329077.496466548,1179995.07496202
"WATTLE GROVE",1012.14731805591,5388.80622009569,56465.7737345757,205797.148073533
"CHIPPING NORTON",2311.77263397948,50215.259977195,203945.548688712,1373463.9340935
"HOLSWORTHY",1365.81803600071,11747.6458741757,139885.107289253,741347.657815006
"HAMMONDVILLE",1754.9900918318,6417.55050749154,33131.3211696472,187779.26921218
"MOUNT PRITCHARD",1591.38405797101,61062.2173913043,172832.199275362,657479.532608696
"PRESTONS",1725.374644727,42674.494540015,158080.504637248,410835.198204936
"VOYAGER POINT",196.593533487298,4455.35623556582,41035.4243648961,559395.868360277
"PLEASURE POINT",265.548561151079,1209.53956834532,12875.131294964,202797.206834532
"WEST HOXTON",2237.4950802139,46209.3920855615,170441.286737968,395158.98973262
"CECIL HILLS",872.469248291572,10678.9717539863,79491.33682612,313482.919514047
"HOXTON PARK",2932.66112557581,60580.7670739035,198129.170839175,486752.655918286
"HINCHINBROOK",2140.43192713327,46004.9286673058,179689.123969319,532438.07325024
"GREEN VALLEY",2351.21685689201,34397.92976295,168830.737225637,526823.483933275
"HORNINGSEA PARK",2696.92213005084,30517.3473374364,130521.340915173,303454.067166176
"MIDDLETON GRANGE",2581.037251045,62299.3066142119,216641.646545365,538666.017334645
"DENHAM COURT",127.362700421941,793.78194092827,5325.63443037975,50211.3086919831
"EDMONDSON PARK",742.715866623127,16245.4346358986,107384.470157106,263004.747650666
"LUDDENHAM",2352.6979020979,6246.39160839161,8935.02377622378,12867.6181818182
"CARNES HILL",2236.61316695353,46030.4642857143,162455.781841652,388622.571428571
"ELIZABETH HILLS",1038.58492607285,15661.7071763433,108397.449693473,318232.674359899
"CECIL PARK",323,323,323,323
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",136.547309833024,5730.77736549165,45191.5769944341,232775.743970315
"BRINGELLY",2363.66702165424,26801.3290024849,80195.4158324459,234520.245083422
"GREENDALE",108.083333333333,441.75,912.416666666667,1586.16666666667
"BADGERYS CREEK",3321.06293706294,70799.2797202797,211663.146853147,628489.972027972
"KEMPS CREEK",4850.55463206973,81446.2804581391,248300.242651531,678282.79393878
"WALLACIA",15.9858407079646,206.176991150442,3453.23362831858,18274.7469026549
"AUSTRAL",10801.7088125478,75708.7680427057,237823.443131551,476924.370690819
"ROSSMORE",NA,NA,NA,NA
"SILVERDALE",0.206896551724138,12.3448275862069,137.551724137931,669.103448275862
