"location","Cal_15","Cal_30","Cal_45","Cal_60"
"BUSBY",3237.85777385159,57012.6152826855,194858.261263251,637179.448321555
"MILLER",5238.76365901406,68166.9015839117,226112.886456665,729006.532301121
"CASULA",1842.43593779513,55835.2866586917,184120.219794749,659759.601586602
"CARTWRIGHT",12144.7403172261,92201.682036149,298407.93913685,1384794.74953892
"HECKENBERG",2297.9619047619,55870.4803174603,146051.523174603,468862.84984127
"SADLEIR",2968.83953630262,60615.384685784,158784.149786455,522576.390482001
"LURNEA",7315.72238053485,73453.2564664621,213319.516111355,759917.117163525
"ASHCROFT",2118.24027889515,56979.493429874,136066.233842853,447580.979082864
"LIVERPOOL",18812.1454961861,88949.9156777014,327789.829254443,1397816.37733992
"MOOREBANK",2427.47106524143,43808.1893352992,204818.648032109,1243040.82086251
"WARWICK FARM",11942.6734693878,74208.8014001717,329828.354930322,1180832.12073179
"WATTLE GROVE",1012.14731805591,5388.80622009569,56467.7459078318,205640.648954923
"CHIPPING NORTON",2311.77263397948,50216.5541619156,203993.135803877,1374394.64526796
"HOLSWORTHY",1365.81803600071,11759.9278203529,139655.852076279,741533.066476564
"HAMMONDVILLE",1754.9900918318,6417.55050749154,33131.3211696472,187765.985500242
"MOUNT PRITCHARD",1591.38405797101,61062.2173913043,172850.429347826,658502.574275362
"PRESTONS",1722.68294689604,41956.4382198953,154966.831039641,404398.058189978
"VOYAGER POINT",196.593533487298,4455.35623556582,40994.7603926097,559237.576212471
"PLEASURE POINT",265.548561151079,1209.53956834532,12875.131294964,202797.206834532
"WEST HOXTON",2141.47048128342,44275.8898395722,165946.784385027,381788.316470588
"CECIL HILLS",872.469248291572,10720.5286256644,79370.4590736522,314771.414578588
"HOXTON PARK",2926.40616863609,59664.3647105948,198062.014019627,484081.161425996
"HINCHINBROOK",2140.74947267498,46066.3284755513,180511.144678811,533060.451390221
"GREEN VALLEY",2351.21685689201,34414.1470588235,170177.997805092,527555.11641791
"HORNINGSEA PARK",2696.92213005084,27274.2346802248,126975.048702168,292396.207385603
"MIDDLETON GRANGE",2521.48291123678,61881.3685763462,216705.943939021,537571.047209245
"DENHAM COURT",127.362700421941,793.78194092827,5325.63443037975,49762.7161181435
"EDMONDSON PARK",742.715866623127,15931.1055476942,103135.361779326,258506.16439897
"LUDDENHAM",2351.86293706294,6248.05314685315,8938.87972027972,12869.0335664336
"CARNES HILL",2246.15834767642,43306.6828743546,156982.894148021,371432.453098107
"ELIZABETH HILLS",1038.58492607285,15620.2935448972,109300.450054093,318986.24341868
"CECIL PARK",323,323,323,323
"LEN WATERS ESTATE",NA,NA,NA,NA
"LEPPINGTON",136.547309833024,5750.8293135436,44630.9424860853,234421.12987013
"BRINGELLY",2361.36173233937,26340.0106496273,79888.5749378772,234437.100887469
"GREENDALE",108.083333333333,441.75,912.416666666667,1586.16666666667
"BADGERYS CREEK",2812.35028248588,58723.2598870056,193466.649717514,639137.101694915
"KEMPS CREEK",3613.58214368393,74848.8096303727,233867.801759395,643344.925997376
"WALLACIA",15.9079646017699,206,3453.22300884956,18274.4053097345
"AUSTRAL",8391.47329529511,71442.315826396,231851.397047361,472100.061313254
"ROSSMORE",3234.7391637898,69522.8107019563,215804.73849252,530918.000287687
"SILVERDALE",0.206896551724138,12.3448275862069,138.206896551724,671.551724137931
